iter	Passed	Remaining
0	23	6973
1	44	6695
2	68	6795
3	95	7075
4	117	6925
5	147	7213
6	167	7005
7	190	6936
8	212	6882
9	234	6810
10	257	6774
11	278	6686
12	318	7028
13	341	6978
14	361	6873
15	395	7021
16	412	6875
17	443	6941
18	465	6890
19	496	6954
20	512	6812
21	529	6694
22	552	6654
23	575	6614
24	594	6537
25	616	6495
26	640	6474
27	660	6413
28	681	6368
29	701	6316
30	725	6296
31	742	6219
32	773	6254
33	792	6200
34	814	6164
35	834	6116
36	855	6082
37	877	6046
38	897	6006
39	914	5944
40	936	5913
41	967	5945
42	997	5960
43	1015	5905
44	1037	5879
45	1060	5854
46	1083	5832
47	1106	5810
48	1129	5784
49	1149	5749
50	1173	5727
51	1202	5736
52	1223	5703
53	1244	5669
54	1266	5642
55	1295	5646
56	1316	5611
57	1338	5585
58	1361	5560
59	1384	5536
60	1406	5511
61	1429	5486
62	1450	5457
63	1471	5426
64	1491	5393
65	1517	5381
66	1540	5356
67	1558	5317
68	1579	5288
69	1606	5277
70	1621	5231
71	1641	5197
72	1663	5173
73	1689	5158
74	1710	5131
75	1731	5102
76	1754	5081
77	1785	5080
78	1808	5059
79	1831	5036
80	1853	5010
81	1875	4985
82	1898	4962
83	1921	4939
84	1942	4913
85	1966	4893
86	1998	4892
87	2031	4895
88	2051	4863
89	2070	4831
90	2088	4797
91	2111	4774
92	2132	4747
93	2165	4745
94	2187	4719
95	2209	4694
96	2231	4671
97	2252	4642
98	2275	4620
99	2297	4595
100	2318	4568
101	2348	4558
102	2367	4529
103	2390	4505
104	2410	4475
105	2438	4462
106	2470	4455
107	2490	4428
108	2509	4397
109	2536	4380
110	2557	4354
111	2584	4338
112	2602	4307
113	2621	4277
114	2644	4253
115	2660	4220
116	2688	4205
117	2715	4188
118	2742	4171
119	2761	4141
120	2776	4107
121	2796	4079
122	2816	4053
123	2832	4020
124	2853	3994
125	2874	3969
126	2894	3943
127	2918	3921
128	2940	3898
129	2963	3875
130	2986	3853
131	3009	3830
132	3030	3805
133	3053	3783
134	3074	3758
135	3096	3733
136	3117	3709
137	3136	3682
138	3152	3650
139	3173	3627
140	3202	3610
141	3219	3582
142	3250	3569
143	3274	3547
144	3297	3525
145	3318	3500
146	3340	3476
147	3379	3471
148	3399	3444
149	3416	3416
150	3438	3393
151	3457	3366
152	3469	3333
153	3481	3300
154	3490	3265
155	3500	3230
156	3510	3197
157	3519	3162
158	3532	3132
159	3541	3098
160	3549	3064
161	3556	3029
162	3563	2995
163	3570	2961
164	3577	2927
165	3584	2893
166	3591	2860
167	3598	2827
168	3605	2794
169	3612	2762
170	3618	2729
171	3625	2698
172	3633	2667
173	3641	2637
174	3649	2606
175	3655	2575
176	3663	2546
177	3671	2516
178	3678	2486
179	3685	2456
180	3691	2427
181	3700	2399
182	3707	2370
183	3713	2340
184	3719	2311
185	3724	2282
186	3732	2255
187	3738	2227
188	3744	2198
189	3750	2171
190	3757	2144
191	3763	2116
192	3769	2089
193	3775	2062
194	3781	2035
195	3786	2009
196	3792	1982
197	3798	1956
198	3804	1930
199	3809	1904
200	3815	1879
201	3821	1854
202	3827	1828
203	3834	1804
204	3839	1779
205	3845	1754
206	3851	1730
207	3857	1706
208	3863	1682
209	3868	1658
210	3875	1634
211	3881	1611
212	3888	1588
213	3896	1565
214	3905	1543
215	3921	1525
216	3930	1503
217	3940	1482
218	3948	1460
219	3955	1438
220	3964	1417
221	3973	1396
222	3981	1374
223	3988	1353
224	3994	1331
225	4001	1310
226	4008	1289
227	4015	1267
228	4022	1247
229	4029	1226
230	4036	1205
231	4042	1184
232	4050	1164
233	4057	1144
234	4064	1124
235	4071	1104
236	4078	1084
237	4085	1064
238	4092	1044
239	4102	1025
240	4109	1006
241	4117	986
242	4125	967
243	4135	949
244	4142	929
245	4151	911
246	4158	892
247	4164	873
248	4171	854
249	4177	835
250	4183	816
251	4190	798
252	4196	779
253	4203	761
254	4209	742
255	4228	726
256	4256	712
257	4276	696
258	4296	680
259	4311	663
260	4333	647
261	4353	631
262	4370	614
263	4392	598
264	4415	583
265	4437	567
266	4458	551
267	4481	535
268	4501	518
269	4524	502
270	4542	486
271	4559	469
272	4581	453
273	4604	436
274	4626	420
275	4645	403
276	4669	387
277	4700	371
278	4731	356
279	4753	339
280	4779	323
281	4803	306
282	4834	290
283	4855	273
284	4876	256
285	4909	240
286	4932	223
287	4955	206
288	4979	189
289	5001	172
290	5023	155
291	5046	138
292	5069	121
293	5091	103
294	5107	86
295	5129	69
296	5151	52
297	5175	34
298	5198	17
299	5219	0
